Country,Code,Year,GDP_Billion,GDP_Log,Scale,Linear_Scale,Share,Share_Rank,Rank,Region
United States,USA,1995,11106.6739207431,4.045623122023436,10.0,10.0,28.683342617321344,1,1,North America
China,CHN,1995,1861.73507114811,3.270151091439384,8.08263473508312,4.09417996925202,4.807990699059935,5,5,East Asia
Japan,JPN,1995,3785.63626336193,3.5782535896728147,8.844422400979942,5.838179326884644,9.776527405182112,2,2,East Asia
Germany,DEU,1995,2612.94578418934,3.417296575642544,8.446453969270104,4.850351230709281,6.748016526208936,3,3,Western Europe
India,IND,1995,596.058814154216,2.776017114051536,6.860881677471079,2.3166079712938674,1.5393410582198637,14,14,South Asia
United Kingdom,GBR,1995,1915.28328978235,3.2824597125164168,8.113067970043705,4.152642065501146,4.946280695920703,4,4,Western Europe
France,FRA,1995,1749.3003444797,3.243112578262437,8.015781639244926,3.9686260613459874,4.517624401271019,6,6,Western Europe
Italy,ITA,1995,1671.69550721402,3.223416890411136,7.967083780050326,3.879596660292016,4.317207413076588,7,7,Western Europe
Brazil,BRA,1995,1066.85884029813,3.028513847326113,7.485183324457667,3.0992846783951107,2.755197267783116,8,8,South America
Canada,CAN,1995,955.122057479248,2.9805133373661006,7.3665014031686304,2.932495987388485,2.4666334324331367,9,9,North America
Australia,AUS,1995,707.786283507272,2.850515304456389,7.045079478227152,2.524405165512827,1.827880841244804,13,13,Oceania
Russian Federation,RUS,1995,721.4989660707259,2.8588372299336378,7.065655553466495,2.54874182441315,1.8632942849973508,12,12,Other
Spain,ESP,1995,803.136997375095,2.905330043941995,7.180609675771494,2.689074320969602,2.0741271265137926,10,10,Western Europe
Mexico,MEX,1995,724.23195330577,2.860476930611916,7.069709735953289,2.5535644889542257,1.8703523124312105,11,11,North America
Turkiye,TUR,1995,338.182356112358,2.530433252657967,6.253672201320727,1.7449519076435391,0.8733668114076353,19,19,Other
Indonesia,IDN,1995,380.895160093945,2.5819441544251327,6.38103361465052,1.851870938342028,0.9836740014352666,17,17,Southeast Asia
Heavily indebted poor countries (HIPC),HPC,1995,268.183987199674,2.430049221682475,6.00547130360455,1.5539048093220234,0.6925937723768976,22,22,Other
Netherlands,NLD,1995,524.315389158098,2.720420123682504,6.723417353854901,2.172722649097829,1.3540613557285108,15,15,Western Europe
Switzerland,CHE,1995,473.591186765463,2.676319669037945,6.614378372992063,2.064951211639643,1.2230644716387549,16,16,Western Europe
Poland,POL,1995,218.906804615997,2.3422386680213485,5.788358501539776,1.403904674153744,0.565333863483368,26,26,Eastern Europe
Sweden,SWE,1995,309.506914356081,2.4920712754731715,6.1588216849297455,1.6693337233485792,0.7993115608017631,21,21,Western Europe
Argentina,ARG,1995,348.389357874283,2.543309672579189,6.285509326735607,1.7710891778039208,0.8997267217392165,18,18,South America
Nigeria,NGA,1995,154.601400725054,2.192013502193667,5.416924712164499,1.1798171405558682,0.3992630897205473,32,32,Sub-Saharan Africa
Belgium,BEL,1995,319.396952810439,2.5056883770005123,6.1924901558063885,1.6957950896925773,0.8248529031972599,20,20,Western Europe
"Iran, Islamic Rep.",IRN,1995,217.232542412204,2.338919512229654,5.780151843178352,1.3985256359345932,0.5610100274938251,27,27,Other
Ireland,IRL,1995,103.488966795566,2.01907043482243,4.989320598659534,0.9652837934811066,0.2672635852004205,43,43,Western Europe
Thailand,THA,1995,213.636116013334,2.3317028008806244,5.762308425077071,1.386900568032639,0.5517221406491319,28,28,Southeast Asia
Philippines,PHL,1995,119.491847401125,2.080957663106048,5.1423376220634855,1.0372349139543522,0.3085915390549102,37,37,Southeast Asia
Norway,NOR,1995,254.491639971383,2.4073766940061634,5.949413166985895,1.5137172126003164,0.6572328452814413,24,24,Western Europe
Malaysia,MYS,1995,117.335045630591,2.0731133825822217,5.122942530543137,1.0278313557586922,0.3030215291146406,39,39,Southeast Asia
Austria,AUT,1995,267.089386116812,2.4282796202411903,6.00109593969399,1.5507304120911556,0.6897669298754369,23,23,Western Europe
Israel,ISR,1995,144.4512789454,2.162717544328268,5.344490053275153,1.1404301354137898,0.3730500737725765,35,35,Middle East
Pakistan,PAK,1995,138.480552374263,2.144513658610874,5.299480695381535,1.11661223641585,0.3576304803698732,36,36,South Asia
Singapore,SGP,1995,107.074136708308,2.033721775093355,5.025546239059215,0.9818616103432056,0.2765224018076528,40,40,Southeast Asia
Viet Nam,VNM,1995,66.8353624824846,1.831456150022396,4.525441698208565,0.7757309926148892,0.1726044731949516,50,50,Other
Denmark,DNK,1995,226.754355587313,2.357466691196947,5.82600999835553,1.428847265873274,0.5856004162626621,25,25,Western Europe
Colombia,COL,1995,150.01178449779198,2.17901083962869,5.384775450076033,1.1621727224742464,0.3874102582006888,34,34,South America
Bangladesh,BGD,1995,65.9506556933725,1.8257548347105228,4.511345117658663,0.7705796719255341,0.1703196894577988,51,51,South Asia
"Hong Kong SAR, China",HKG,1995,157.71978257690398,2.200631059890021,5.438231742133023,1.1916564664975218,0.4073164111475139,31,31,Other
Chile,CHL,1995,104.613573720419,2.0237197383970464,5.00081606571501,0.9705144552621106,0.270167918753882,41,41,South America
Finland,FIN,1995,152.674521262385,2.1866018688504627,5.403544374267708,1.172441743445933,0.3942868615351865,33,33,Western Europe
Kazakhstan,KAZ,1995,58.5320235189309,1.774750644657752,4.3852365560142825,0.7259467384576047,0.1511608332664796,52,52,Central Asia
Portugal,PRT,1995,158.531059083234,2.2028452483669363,5.44370635360601,1.194717347197966,0.4094115588176896,30,30,Western Europe
Romania,ROU,1995,103.718335742553,2.0200227314841706,4.991675165257817,0.9663529102713908,0.2678559378830643,42,42,Eastern Europe
Peru,PER,1995,76.9178305989662,1.8916368523406084,4.67423931268389,0.832188102577434,0.1986427713818773,49,49,South America
Greece,GRC,1995,167.488456016048,2.2265701505469706,5.502366500664167,1.2280058301774694,0.4325443244878335,29,29,Southern Europe
Czechia,CZE,1995,118.281953160126,2.0765747417772675,5.1315007887758455,1.0319703815078578,0.305466948264459,38,38,Other
