Country,Code,GDP_1995_Billion,GDP_2024_Billion,Growth_Percent,Rank_Current,Rank_1995,x_pos,y_pos,GDP_1995_Log,GDP_Latest_Log,Scale_1995,Scale_Latest,Linear_Scale_1995,Linear_Scale_Latest,Region,Share_1995,Share_2024,Share_Rank_1995,Share_Rank_2024
United States,USA,11106.6739207431,22679.4899695556,104.19695519464942,1,1,0.15,0.7,4.045623122023436,4.3556524324420245,10.0,10.0,10.0,10.0,North America,28.683342617321344,24.584427990864032,1,1
China,CHN,1861.73507114811,18488.114837769303,893.0583101906061,2,5,0.8,0.65,3.270151091439384,4.266916119905832,8.08263473508312,9.796333400178922,4.09417996925202,9.028792521717117,East Asia,4.807990699059935,20.04100306162531,5,2
Japan,JPN,3785.63626336193,4605.0545268919805,21.645456840651267,3,2,0.9,0.68,3.5782535896728147,3.663329074876179,8.844422400979942,8.410987112467199,5.838179326884644,4.506099182466109,East Asia,9.776527405182112,4.991850855656464,2,3
Germany,DEU,2612.94578418934,3683.55954524029,40.97343953820709,4,3,0.52,0.78,3.417296575642544,3.566385579439437,8.446453969270104,8.188483477528361,4.850351230709281,4.030112833491828,Western Europe,6.748016526208936,3.992955948814674,3,4
India,IND,596.058814154216,3477.47626413411,483.4115999221507,5,14,0.75,0.55,2.776017114051536,3.541389044235066,6.860881677471079,8.131111707315284,2.3166079712938674,3.915754406749544,South Asia,1.5393410582198637,3.7695629363934535,14,5
United Kingdom,GBR,1915.28328978235,3271.96695594246,70.83462135328719,6,4,0.48,0.8,3.2824597125164168,3.514941620668746,8.113067970043705,8.070409874234455,4.152642065501146,3.798287311271678,Western Europe,4.946280695920703,3.546792107090325,4,6
France,FRA,1749.3003444797,2702.3850113175,54.48376374277106,7,6,0.5,0.75,3.243112578262437,3.431907901556417,8.015781639244926,7.87983180355782,3.9686260613459874,3.451890175808103,Western Europe,4.517624401271019,2.92936877343839,6,7
Italy,ITA,1671.69550721402,2029.01287528216,21.3745485661818,8,7,0.52,0.7,3.2234168904111358,3.307498792418761,7.967083780050326,7.594289396840149,3.879596660292016,2.9910643709811446,Western Europe,4.317207413076588,2.1994375090388187,7,8
Brazil,BRA,1066.85884029813,2027.67647971469,90.06042815824283,9,8,0.35,0.25,3.028513847326113,3.307212794062739,7.485183324457667,7.593632976587147,3.0992846783951107,2.990079186603423,South America,2.7551972677831156,2.1979888644423187,8,9
Canada,CAN,955.122057479248,1833.28462168446,91.94244414403462,10,9,0.15,0.85,2.9805133373661006,3.263466725028869,7.3665014031686304,7.493227484393266,2.932495987388485,2.843140395619005,North America,2.4666334324331367,1.9872692829098555,9,10
Australia,AUS,707.786283507272,1665.257959985,135.2769471221168,11,13,0.9,0.2,2.850515304456389,3.2217422371221733,7.045079478227152,7.397461902768873,2.524405165512827,2.7097181313901704,Oceania,1.8278808412448038,1.8051294124524164,13,11
Russian Federation,RUS,721.4989660707259,1612.34487526436,123.47154342370987,12,12,0.5,0.5,2.8588372299336378,3.2077272138952204,7.065655553466495,7.365294776983893,2.54874182441315,2.6663203600171403,Other,1.8632942849973508,1.747771953231099,12,12
Spain,ESP,803.136997375095,1424.80563660196,77.40505558312893,13,10,0.47,0.7,2.905330043941995,3.1540603272659378,7.180609675771494,7.242119134336908,2.689074320969602,2.50646226380399,Western Europe,2.0741271265137926,1.54448056905331,10,13
Mexico,MEX,724.23195330577,1349.63327463814,86.3537321817567,14,11,0.12,0.55,2.860476930611916,3.130537444935267,7.069709735953289,7.188129675846337,2.5535644889542257,2.439446212154767,North America,1.8703523124312105,1.4629941898585617,11,14
Turkiye,TUR,338.182356112358,1295.42312085221,283.0546146002418,15,19,0.5,0.5,2.530433252657967,3.112746767785189,6.253672201320727,7.147296711075651,1.7449519076435391,2.389952008856054,Other,0.8733668114076353,1.4042307157278437,19,15
Indonesia,IDN,380.895160093945,1238.23635013656,225.0858713539857,16,17,0.85,0.45,2.5819441544251327,3.0931541439636976,6.38103361465052,7.102327938301043,1.851870938342028,2.336604091165985,Southeast Asia,0.9836740014352666,1.3422406071065212,17,16
Heavily indebted poor countries (HIPC),HPC,268.183987199674,963.576544877918,259.296822654999,17,22,0.5,0.5,2.430049221682475,2.984336697194053,6.00547130360455,6.8525713420288525,1.5539048093220234,2.061230063723161,Other,0.6925937723768976,1.0445110632133372,22,17
